case,direction,maximum_mixed_ratio,num_nodes,receiver_absolute_error,receiver_mixed_ratio,receiver_relative_error,rhs_absolute_error,rhs_mixed_ratio,rhs_relative_error,same_near_direct_branch,scattered_absolute_error,scattered_mixed_ratio,scattered_objective_absolute_error,scattered_objective_mixed_ratio,scattered_relative_error,solution_absolute_error,solution_mixed_ratio,solution_relative_error,step,system_absolute_error,system_mixed_ratio,system_relative_error,total_absolute_error,total_mixed_ratio,total_objective_absolute_error,total_objective_mixed_ratio,total_relative_error
circle,translation_x,4.600827898493063,64,7.497104609758793e-07,0.3565052833332734,7.130802953170726e-06,1.3732168562749113e-10,0.43868152188434745,8.774543813899973e-06,True,2.483616718853801e-13,0.8766291788717869,8.355014791544546e-07,4.600827898493063,1.7535410229172688e-05,1.1587630758096096e-10,0.43603208684466654,8.721551449895853e-06,0.01,0.0,0.0,0.0,2.483616719276516e-13,0.8757392906808181,1.774255488655365e-08,0.17486772332705072,1.753541023215724e-05
circle,translation_x,0.04601040071716407,64,7.497305041555726e-09,0.003565148150407627,7.130993592053852e-08,1.373244805696891e-12,0.004386904520246461,8.774722404358293e-08,True,2.483611565629316e-15,0.008766273762092746,8.355400094028909e-09,0.04601040071716407,1.753537384517484e-07,1.1587953115431721e-12,0.00436044218411895,8.721794075515067e-08,0.001,1.6848430448301146e-10,0.001300699283251043,1.3006992832510431,2.4836116193595596e-15,0.008757375129468451,1.7743428972730353e-10,0.0017487633817765645,1.7535374224533644e-07
circle,translation_x,0.013092130137042905,64,7.468997845408317e-11,3.5516874012131613e-05,7.104069459553262e-10,1.3781798628598668e-14,4.402669827799225e-05,8.806256298733941e-10,True,2.439941179135853e-17,8.612132700337988e-05,8.356922879398931e-11,0.00046018786188151996,1.7227041993397483e-09,1.1597424450967127e-14,4.3640061637610315e-05,8.728922775237704e-10,0.0001,1.6958711892478306e-09,0.013092130137042905,13.092130137042906,2.4393814603095797e-17,8.601416749649063e-05,1.7754951426186133e-12,1.74989901597121e-05,1.7223090135948152e-09
circle,translation_x,0.13006992832510403,64,3.8498171850105045e-11,1.8306802969086513e-05,3.661718647530456e-10,6.069961216913427e-15,1.9390818155696314e-05,3.8785673510417386e-10,True,1.9209363022933262e-17,6.780228346802669e-05,8.626464126360034e-12,4.750305990849091e-05,1.3562642669102757e-09,1.0551654244359422e-14,3.970492272364637e-05,7.941812894701962e-10,1e-05,1.684843044830111e-08,0.13006992832510403,130.06992832510403,1.9306270305432665e-17,6.807515737890532e-05,1.9881107394051356e-13,1.959449475821038e-06,1.3631063409707437e-09
circle,translation_x,1.309213013704291,64,3.8152045978913985e-10,0.00018142211825649665,3.6287971996791714e-09,5.55244560531722e-14,0.00017737586650879662,3.5478866295243587e-09,True,1.4501745126068978e-16,0.0005118605092022754,3.106402808594755e-11,0.00017105923882030453,1.023886044469385e-08,8.1163897893331e-14,0.00030541242341586365,6.108885639596331e-09,1e-06,1.6958711892478313e-07,1.309213013704291,1309.2130137042911,1.448319739840749e-16,0.0005106869046541178,7.802991922305907e-13,7.690501403645609e-06,1.0225764945259733e-08
circle,translation_y,0.677285111250552,64,6.153062078780587e-07,0.3348943541172245,6.69863679865768e-06,1.3098478782616308e-10,0.4188287698123186,8.377448218877401e-06,True,1.7663647122292932e-13,0.677285111250552,9.441228319495912e-08,0.6683442818277864,1.3548074034008365e-05,1.1094722863373945e-10,0.4178703146322656,8.358278886848831e-06,0.01,0.0,0.0,0.0,1.7663647122663876e-13,0.6765383250715867,2.10762783249297e-09,0.020910500119627345,1.354807403429288e-05
circle,translation_y,0.006773117368483137,64,6.153244525602774e-09,0.003349042844478234,6.69883542252678e-08,1.3098793806196507e-12,0.004188388428105767,8.377649699810771e-08,True,1.7664341895157503e-15,0.006773117368483137,9.440713840021264e-10,0.006683078618405386,1.3548606927025352e-07,1.109507650705462e-12,0.0041788363422674436,8.358545306528353e-08,0.001,1.7336522389179896e-10,0.0013383799941997364,1.3383799941997365,1.7664325122084139e-15,0.006765642568493066,2.1075047706064966e-11,0.00020909279180355168,1.354859406202425e-07
circle,translation_y,0.013265222773468695,64,6.159755745830864e-11,3.3525867239637323e-05,6.705923974351157e-10,1.3118773610915803e-14,4.1947770455714876e-05,8.390428266103624e-10,True,1.766778803971534e-17,6.774438724653504e-05,9.398417807893189e-12,6.653137269398467e-05,1.3551250130961564e-09,1.1100060117249048e-14,4.180713363249659e-05,8.362299740449897e-10,0.0001,1.7182925074071191e-09,0.013265222773468695,13.265222773468697,1.768082778399296e-17,6.771963244119956e-05,2.0918387329390761e-13,2.0753851036226322e-06,1.3561251656673363e-09
circle,translation_y,0.13383799941997337,64,3.609937495701809e-11,1.964790329666884e-05,3.930020506855443e-10,6.0120076825838406e-15,1.922361996072433e-05,3.845124604788589e-10,True,1.92493746516556e-17,7.380873527839508e-05,3.478131845036092e-12,2.4621685350758635e-05,1.4764332138398178e-09,1.2053487013136004e-14,4.5398109287054376e-05,9.080569857890429e-10,1e-05,1.733652238917986e-08,0.13383799941997337,133.83799941997339,1.923121512906377e-17,7.365779674735161e-05,8.633868495361643e-14,8.565957681037057e-07,1.475040372628753e-09
circle,translation_y,1.32652227734687,64,3.4977311908389785e-10,0.00019037195042081217,3.807865184323004e-09,5.5741726610425733e-14,0.0001782362606451105,3.5650966502263416e-09,True,1.0390199183444757e-16,0.0003983960387712686,2.2884243978948948e-11,0.00016199749746226972,7.969316120890086e-09,7.302235828096538e-14,0.0002750305366426253,5.5011850498994514e-09,1e-06,1.7182925074071195e-07,1.32652227734687,1326.52227734687,1.0449610340067676e-16,0.0004002322626577864,4.751594557812593e-13,4.7142202735117975e-06,8.014884668699078e-09
