best_same_branch_fd_mixed_ratio,case,direction,discrete_gate_passed,fd_observed_orders,maximum_adjoint_jvp_absolute_difference,num_nodes,relative_physical_jvp_norm,same_branch_fd_step_count,scattered_objective_jvp,seconds,total_objective_jvp
0.00019985829452689915,ellipse,exterior_epsr,True,"[1.9999720813045245, 1.9996441756469774, 1.9347539658998925, -0.9054663707964314]",1.1644331332494318e-16,32,2.7163880787080283,5,-0.0011923122154525992,0.16143154352903366,0.0006303728239484643
6.44888142249552e-05,ellipse,mixed,True,"[1.9999780566500795, 1.9878119186229524, -0.1079900022620893, -0.8708991404443748]",9.540979117872439e-18,32,0.4104479928676002,5,-0.0021988620432523464,0.1607769150286913,0.00011400536751707849
0.0175506099154043,ellipse,tangential_phase,True,"[0.3978677338471981, -0.989081663457903, -1.038362535068464, -0.9679949377013152]",4.3136659923227225e-17,32,3.681775378769187e-09,5,-9.427986146398516e-11,0.1611696220934391,-1.7155331209180126e-12
0.005878752825212225,ellipse,translation_x,True,"[1.9999786265438817, 1.9946035677325544, -0.051180477564547404, -0.8349103602392492]",1.3010426069826053e-17,64,0.4015866614600317,5,-0.0040428656376201725,0.5297292107716203,-4.155277072851305e-05
0.011283948704917576,ellipse,translation_y,True,"[1.99998401306042, 1.995533712761494, -0.0014113710814562623, -0.7222728815804479]",8.435092901937224e-17,64,0.22877097106135985,5,0.001235364053139226,0.5879049729555845,6.950254515957565e-07
0.00011564551192373445,ellipse,scale,True,"[1.9999893746575688, 1.9957969388151395, 0.44173361796918403, -1.0589025974725417]",2.3201926491189795e-17,64,0.5357542553716242,5,-0.0007590673945203506,0.5883830720558763,1.6092739237859658e-05
0.00014390302295114432,ellipse,shape_mode4,True,"[2.000090637147172, 1.8573852718158361, -0.599887519063598, -1.165257293255756]",2.168404344971009e-19,64,0.07974804138714364,5,-0.0008478823589796987,0.5886356560513377,-1.908158405782445e-05
3.957870894937169e-05,ellipse,interior_epsr,True,"[2.0000034279187218, 1.9974275257891423, 0.4653603125928651, -0.9024203564124846]",1.0110185258427329e-17,64,0.4501590488210112,5,0.00010932403017803647,0.5886486163362861,-1.4394878065097589e-05
0.0003271031445018187,ellipse,exterior_epsr,True,"[1.9999720281330864, 1.999695558855257, 1.9554927105008733, -0.9659442513351736]",3.9898639947466563e-17,64,2.71638807767236,5,-0.0011923098367929777,0.5875564748421311,0.0006303728886296086
4.932007763706616e-05,ellipse,mixed,True,"[1.9999765136307626, 1.9816263094870898, 0.0671643706594145, -1.1186549395418954]",1.3444106938820255e-17,64,0.4104479914720315,5,-0.0021988624698869672,0.5877107623964548,0.00011400536403370457
0.017549134963415765,ellipse,tangential_phase,True,"[-0.9378777353066586, -0.8705081269580208, -1.2442302133945435, -0.9713223546768068]",7.546120375070976e-17,64,5.330035105164894e-15,5,1.2750290803001397e-16,0.5875265849754214,2.3276604386720304e-18
0.005878691844484273,ellipse,translation_x,True,"[1.9999831312501246, 1.9915322995797247, 0.002238610821275576, -1.0244792529027007]",1.3877787807814457e-17,128,0.4015866614600311,5,-0.0040428656376241675,2.0410582600161433,-4.155277072858827e-05
0.011284186591239372,ellipse,translation_y,True,"[1.9999930342292436, 1.9972572608189174, 0.09146007154290729, -0.7830549604328044]",5.095750210681871e-17,128,0.22877097106135927,5,0.0012353640531405138,2.022044369019568,6.950254516194537e-07
0.00029401949484324897,ellipse,scale,True,"[1.9999978795944662, 2.002553851829612, -0.022666075758481136, -0.6228846640384978]",4.0115480381963664e-17,128,0.5357542553716258,4,-0.0007590673945200752,2.0199098214507103,1.6092739237863544e-05
0.00019582015756483578,ellipse,shape_mode4,True,"[1.9999333062908413, 1.8160406711265813, -0.8658976892650968, -1.1160513160849665]",2.2876665839444144e-17,128,0.07974804138714388,4,-0.0008478823589795885,2.019456003792584,-1.9081584057822602e-05
5.3641919475231336e-05,ellipse,interior_epsr,True,"[1.9999974774429399, 2.000708340418852, 0.32336252490020295, -0.9028038275760562]",4.279888075886529e-17,128,0.4501590488210108,5,0.00010932403017642622,2.020569061860442,-1.4394878065125898e-05
0.000201817115989773,ellipse,exterior_epsr,True,"[1.9999721536770503, 1.9997678299908663, 1.8282293193872439, -1.0520146184590844]",8.456776945386935e-17,128,2.716388077672362,4,-0.0011923098367917126,2.018575644120574,0.0006303728886291756
5.8762726243614255e-05,ellipse,mixed,True,"[1.9999772674509477, 1.9711484642151846, -0.050943740993161124, -1.07251377922436]",1.6046192152785466e-17,128,0.4104479914720335,4,-0.0021988624698869893,2.0250140549615026,0.0001140053640336116
0.017548335433509133,ellipse,tangential_phase,True,"[-0.7405085473542222, -1.1722392471531207, -0.9560565396611707, -0.7935488275470375]",3.4950614206596497e-16,128,1.2879085304439051e-14,4,-3.828995689785185e-16,2.022662333212793,-6.940737929030127e-18
0.004381344573375676,star,translation_x,True,"[1.9999830163556576, 1.9977293134835967, -0.36375625406897966, -1.019670734364734]",1.1275702593849246e-17,32,0.3770991466664805,5,0.007253431585356475,0.2239699810743332,0.00016477496525834116
0.010647059385109887,star,translation_y,True,"[1.999993767929993, 1.9979738369312217, 0.16324954619653304, -1.1339726489984219]",8.239936510889834e-18,32,0.18259201762946642,5,-0.0036664214026664492,0.22323568351566792,-7.372525784425633e-05
7.037623821293505e-05,star,scale,True,"[2.000007279349877, 1.9868254193537724, -0.10378340262642408, -0.9750302521406853]",2.5587171270657905e-17,32,0.4604740616402002,4,-0.0031951003153814117,0.22347285877913237,-6.659925275917751e-05
4.6323607185472206e-05,star,shape_mode4,True,"[2.000094729483505, 1.8504761953265974, -0.951016656709134, -0.8884956944614856]",4.662069341687669e-18,32,0.1323648834175588,4,0.0007700193786620218,0.2225527185946703,1.1996148200304569e-05
5.4502058656905926e-05,star,interior_epsr,True,"[1.999998555797396, 2.0069299075782503, 0.14656233735916757, -1.1295662303730454]",3.252606517456513e-17,32,0.4429803082681855,5,0.0023298424612615757,0.22230940405279398,4.3925417653505364e-05
0.0001864597537026959,star,exterior_epsr,True,"[1.9999722727460727, 1.9996769458156924, 1.8603857897371932, -1.031133880645189]",3.2959746043559335e-17,32,2.6393716265829945,5,0.005906914986285789,0.22257749177515507,0.0008705502879159632
7.536693879735977e-05,star,mixed,True,"[1.9999733390344214, 1.9775548868598645, -0.1214533018290709, -0.9112260416680719]",6.938893903907228e-18,32,0.40848843904598603,5,0.002844816719845268,0.22314131539314985,0.00021353788047224424
0.0010792416332614126,star,tangential_phase,True,"[1.9998264697079111, 1.9999401901287925, 0.8355217536848326, -0.9576230281278368]",1.196959198423997e-16,32,0.04407177649574542,4,0.0004842205408770264,0.22286568861454725,1.0283232405761348e-05
0.004380028692037606,star,translation_x,True,"[1.9999775375436208, 2.0402923326925846, -0.6296073682238695, -0.996587761368249]",3.122502256758253e-17,64,0.37622973666403764,5,0.007431001738062212,0.5835750764235854,0.0001684855666059827
0.010615821656656973,star,translation_y,True,"[1.9999875410802432, 1.9942727344367062, 0.12742527504473555, -1.0074492689087573]",3.7730235602495554e-17,64,0.18344601590210413,5,-0.003724529657670923,0.5842790920287371,-7.495867810401268e-05
6.738842182620236e-05,star,scale,True,"[2.0000041332156373, 1.9792005753993986, -0.07798938454501919, -1.0763175140075185]",4.5102810375396984e-17,64,0.46046064110263707,4,-0.0031829627577326662,0.5845892177894711,-6.635958704650748e-05
4.560999163375896e-05,star,shape_mode4,True,"[1.9998425779442635, 1.8023293199824528, -1.016175849993567, -0.8088175083062709]",6.418476861114186e-17,64,0.1333650795244345,4,0.0012901633661850068,0.5837339488789439,2.3035748265791348e-05
9.949131516972158e-05,star,interior_epsr,True,"[1.9999994344079655, 2.014878466992765, -0.07345251813790821, -0.8557644064305185]",9.974659986866641e-17,64,0.44315288252469465,5,0.00205789698226676,0.5855049900710583,3.816964941543047e-05
0.00019583029419075926,star,exterior_epsr,True,"[1.9999723011938333, 1.9996303072030301, 1.7814471968123728, -0.8752895612485151]",1.0928757898653885e-16,64,2.6386284285019874,5,0.004695956686445239,0.5840831631794572,0.0006350313392076714
