curve,cutoff,cutoff_converged,field_error,gradient_error,gradient_step_consistency,grid,halfband,halfwidth,kd,knee_0.001,knee_0.1,knee_1e-06,ko,matrix_error,max_mode,nonzeros,order,r2_K,r2_Kp,r2_T,r2_V,rate_K,rate_Kp,rate_T,rate_V,rate_envelope,retained,trace_error
circle,24,5.575451929415153e-16,3.4845800758358194e-16,8.35165564602183e-09,5.062706571102665e-08,256,5,3.5,10.0,1,1,1,10.0,1.8769946589845945e-15,1,2036,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.21199500208246563,1.2077529766690607e-15
circle,24,5.575451929415153e-16,3.0166443488618807e-16,1.7915833809901349e-09,5.062706571102665e-08,256,6,3.5,10.0,1,1,1,10.0,1.8682996151452325e-15,1,2380,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2478134110787172,1.1996983578422128e-15
circle,24,5.575451929415153e-16,2.804795387110071e-16,1.791402549287352e-09,5.062706571102665e-08,256,7,3.5,10.0,1,1,1,10.0,1.860661363429686e-15,1,2716,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.282798833819242,1.193258526341839e-15
circle,24,5.575451929415153e-16,2.2659635236058874e-16,1.7915265213513204e-09,5.062706571102665e-08,256,8,3.5,10.0,1,1,1,10.0,1.8418214003663424e-15,1,3044,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.31695127030403997,1.1778584069950536e-15
circle,24,5.575451929415153e-16,1.8717886983147118e-16,4.473347474962984e-12,5.062706571102665e-08,256,9,3.5,10.0,1,1,1,10.0,1.830767950729303e-15,1,3364,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3502707205331112,1.173582997799396e-15
circle,24,5.575451929415153e-16,1.598214838038227e-16,4.012527691394983e-12,5.062706571102665e-08,256,10,3.5,10.0,1,1,1,10.0,1.8266286269430647e-15,1,3676,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3827571845064556,1.1701918325871075e-15
circle,24,5.575451929415153e-16,1.459139682674276e-16,3.700004037888269e-12,5.062706571102665e-08,256,11,3.5,10.0,1,1,1,10.0,1.8189740491748993e-15,1,3980,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.4144106622240733,1.1666173319319512e-15
circle,24,5.575451929415153e-16,6.288578317917319e-17,1.7965995143033779e-12,5.062706571102665e-08,256,12,3.5,10.0,1,1,1,10.0,1.7962567218675153e-15,1,4276,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.44523115368596416,1.1573303218704795e-15
circle,24,5.575451929415153e-16,6.366500541861567e-17,1.337812510063914e-12,5.062706571102665e-08,256,13,3.5,10.0,1,1,1,10.0,1.7911425341346966e-15,1,4564,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.4752186588921283,1.1559732593369986e-15
circle,24,5.575451929415153e-16,2.908644685132791e-17,1.073292566777188e-12,5.062706571102665e-08,256,14,3.5,10.0,1,1,1,10.0,1.7860929477831968e-15,1,4844,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5043731778425656,1.15077055545629e-15
