curve,cutoff,cutoff_converged,field_error,gradient_error,gradient_step_consistency,grid,halfwidth,kd,knee_0.001,knee_0.1,knee_1e-06,ko,matrix_error,max_mode,nonzeros,order,parameter,r2_K,r2_Kp,r2_T,r2_V,rate_K,rate_Kp,rate_T,rate_V,rate_envelope,retained,rule,trace_error
crescent,24,1.4393415477829739e-12,3.858539802877416e-09,5.606323877730214e-08,7.04871400789152e-09,256,0.09053850616843741,2.0,25,5,-1,1.9999999999999996,0.00043803764920572055,2,5116,49,4.0,0.9251208185700501,0.9251208185700432,0.8562576810940832,0.9308355142985905,0.2224450692081303,0.22244506920813312,0.16976081300878126,0.27496810589208137,0.17386851086153216,0.5326947105372761,fjs_q4,8.219231094592766e-06
crescent,24,1.4393415477829739e-12,8.452100832376255e-05,0.0006498080630207901,7.04871400789152e-09,256,0.09053850616843741,2.0,25,5,-1,1.9999999999999996,0.002657486121957879,2,2604,49,1.2,0.9251208185700501,0.9251208185700432,0.8562576810940832,0.9308355142985905,0.2224450692081303,0.22244506920813312,0.16976081300878126,0.27496810589208137,0.17386851086153216,0.27113702623906705,jwy_mu1.2,0.00040176737873152274
crescent,36,8.869949095746213e-13,0.817299585467613,2.010727947028823,5.665005791986764e-08,512,0.09053850616843741,10.0,32,11,-1,9.999999999999998,0.3394957966071903,2,2548,73,1.0,0.9658427861449387,0.9658427861449336,0.9556702013557138,0.9672192895784371,0.1862308472443727,0.18623084724437522,0.14808244796071887,0.2225146110462338,0.15502118714535268,0.11953462188027772,fjs_q1,0.7099518436803118
crescent,36,8.869949095746213e-13,0.21793612921850855,0.6781862850819326,5.665005791986764e-08,512,0.09053850616843741,10.0,32,11,-1,9.999999999999998,0.14781426863557953,2,4676,73,2.0,0.9658427861449387,0.9658427861449336,0.9556702013557138,0.9672192895784371,0.1862308472443727,0.18623084724437522,0.14808244796071887,0.2225146110462338,0.15502118714535268,0.21936573465941078,fjs_q2,0.23199412451610105
crescent,36,8.869949095746213e-13,0.0004242340990693393,0.002911974263273354,5.665005791986764e-08,512,0.09053850616843741,10.0,32,11,-1,9.999999999999998,0.00807369722382161,2,8996,73,4.0,0.9658427861449387,0.9658427861449336,0.9556702013557138,0.9672192895784371,0.1862308472443727,0.18623084724437522,0.14808244796071887,0.2225146110462338,0.15502118714535268,0.42203039969975603,fjs_q4,0.0024008245377262773
crescent,36,8.869949095746213e-13,0.07835184635214512,0.35303529320851895,5.665005791986764e-08,512,0.09053850616843741,10.0,32,11,-1,9.999999999999998,0.0662512534559839,2,4164,73,1.2,0.9658427861449387,0.9658427861449336,0.9556702013557138,0.9672192895784371,0.1862308472443727,0.18623084724437522,0.14808244796071887,0.2225146110462338,0.15502118714535268,0.19534621880277725,jwy_mu1.2,0.0791319220490746
crescent,81,1.8934705288100494e-14,1.0687315776842028,1.9187564610191528,4.38455345093321e-07,1024,0.09053850616843741,30.0,53,34,111,29.999999999999993,0.6623505325276118,2,7052,163,1.0,0.9847682504261258,0.984768250428671,0.986712111130114,0.982256321989561,0.1406957667064589,0.14069576672085438,0.12409003965803757,0.1559330480519245,0.12770208355845547,0.06635552711806993,fjs_q1,1.2359381747972675
crescent,81,1.8934705288100494e-14,1.0299058754789292,2.133339885376511,4.38455345093321e-07,1024,0.09053850616843741,30.0,53,34,111,29.999999999999993,0.5149152473361794,2,13252,163,2.0,0.9847682504261258,0.984768250428671,0.986712111130114,0.982256321989561,0.1406957667064589,0.14069576672085438,0.12409003965803757,0.1559330480519245,0.12770208355845547,0.12469419247995785,fjs_q2,1.1230909415986152
crescent,81,1.8934705288100494e-14,0.5714131584182472,1.2802317269453989,4.38455345093321e-07,1024,0.09053850616843741,30.0,53,34,111,29.999999999999993,0.269841292467156,2,25052,163,4.0,0.9847682504261258,0.984768250428671,0.986712111130114,0.982256321989561,0.1406957667064589,0.14069576672085438,0.12409003965803757,0.1559330480519245,0.12770208355845547,0.23572584591064774,fjs_q4,0.6901482166991534
crescent,81,1.8934705288100494e-14,0.6788673809837925,1.6734578041492667,4.38455345093321e-07,1024,0.09053850616843741,30.0,53,34,111,29.999999999999993,0.31171163499221155,2,10396,163,1.2,0.9847682504261258,0.984768250428671,0.986712111130114,0.982256321989561,0.1406957667064589,0.14069576672085438,0.12409003965803757,0.1559330480519245,0.12770208355845547,0.09782076856486883,jwy_mu1.2,0.8025184038018996
corrugated,54,1.6961114221876996e-14,0.003930757228394599,0.011206056032527273,6.590472348163347e-09,512,0.10750035796738647,2.0,1,1,1,1.9999999999999996,0.01454415357100785,9,3844,109,1.0,0.9681963867523857,0.968196386775187,0.9670457112712705,0.9627332471400343,0.183985861021465,0.18398586106772447,0.15427464046426503,0.21145106892873067,0.15555174371089905,0.08088544735291642,fjs_q1,0.024154736555594483
corrugated,54,1.6961114221876996e-14,0.00024292545818698757,0.01816640093553706,6.590472348163347e-09,512,0.10750035796738647,2.0,1,1,1,1.9999999999999996,0.004552836973908071,9,7924,109,2.0,0.9681963867523857,0.968196386775187,0.9670457112712705,0.9627332471400343,0.183985861021465,0.18398586106772447,0.15427464046426503,0.21145106892873067,0.15555174371089905,0.16673680666610555,fjs_q2,0.0063986059136542685
corrugated,54,1.6961114221876996e-14,2.947370266450378e-06,0.0001522265547628142,6.590472348163347e-09,512,0.10750035796738647,2.0,1,1,1,1.9999999999999996,0.00028912692923366474,9,14764,109,4.0,0.9681963867523857,0.968196386775187,0.9670457112712705,0.9627332471400343,0.183985861021465,0.18398586106772447,0.15427464046426503,0.21145106892873067,0.15555174371089905,0.3106640855146873,fjs_q4,0.00019917684467161015
corrugated,54,1.6961114221876996e-14,0.00013879107069024913,0.0006132844118551692,6.590472348163347e-09,512,0.10750035796738647,2.0,1,1,1,1.9999999999999996,0.0039054102955829928,9,6620,109,1.2,0.9681963867523857,0.968196386775187,0.9670457112712705,0.9627332471400343,0.183985861021465,0.18398586106772447,0.15427464046426503,0.21145106892873067,0.15555174371089905,0.13929803888561568,jwy_mu1.2,0.00046746493314187324
corrugated,81,1.857557152577979e-15,0.3115800450608051,1.8327329727660429,6.044272752347357e-08,1024,0.10750035796738647,10.0,1,1,1,9.999999999999998,0.24433629895593195,9,7052,163,1.0,0.9794854653852826,0.9794854657963322,0.9778484272379518,0.9732858026170904,0.16185141734202907,0.16185141746869233,0.14372864347701772,0.181699744864578,0.14404227375731846,0.06635552711806993,fjs_q1,0.45045252539787417
corrugated,81,1.857557152577979e-15,0.0321455311454596,0.22929061346021082,6.044272752347357e-08,1024,0.10750035796738647,10.0,1,1,1,9.999999999999998,0.10198303700772883,9,13252,163,2.0,0.9794854653852826,0.9794854657963322,0.9778484272379518,0.9732858026170904,0.16185141734202907,0.16185141746869233,0.14372864347701772,0.181699744864578,0.14404227375731846,0.12469419247995785,fjs_q2,0.1418145746594949
corrugated,81,1.857557152577979e-15,0.00037747344140426494,0.003144600907971355,6.044272752347357e-08,1024,0.10750035796738647,10.0,1,1,1,9.999999999999998,0.013239340705326905,9,25052,163,4.0,0.9794854653852826,0.9794854657963322,0.9778484272379518,0.9732858026170904,0.16185141734202907,0.16185141746869233,0.14372864347701772,0.181699744864578,0.14404227375731846,0.23572584591064774,fjs_q4,0.009539114375292328
corrugated,81,1.857557152577979e-15,0.003561431411130791,0.029562429614076787,6.044272752347357e-08,1024,0.10750035796738647,10.0,1,1,1,9.999999999999998,0.035137161084587344,9,10396,163,1.2,0.9794854653852826,0.9794854657963322,0.9778484272379518,0.9732858026170904,0.16185141734202907,0.16185141746869233,0.14372864347701772,0.181699744864578,0.14404227375731846,0.09782076856486883,jwy_mu1.2,0.018360899120475754
corrugated,121,5.199995671815277e-15,0.8887753574101874,1.8030785250756063,4.007709621324075e-07,1024,0.10750035796738647,30.0,1,1,1,29.999999999999993,0.6213612883997298,9,10572,243,1.0,0.9883040946698063,0.9883042144399325,0.9867385245590794,0.9872916536700806,0.15362877529682817,0.1536288464369117,0.1369449153223799,0.17126555445261768,0.13721793717783654,0.04475943707768125,fjs_q1,0.7491029682974067
corrugated,121,5.199995671815277e-15,0.6353301778738272,1.6658903427954548,4.007709621324075e-07,1024,0.10750035796738647,30.0,1,1,1,29.999999999999993,0.46822006710716385,9,19972,243,2.0,0.9883040946698063,0.9883042144399325,0.9867385245590794,0.9872916536700806,0.15362877529682817,0.1536288464369117,0.1369449153223799,0.17126555445261768,0.13721793717783654,0.08455689342749242,fjs_q2,0.5505081087658383
corrugated,121,5.199995671815277e-15,0.18531423643636527,0.764491616357103,4.007709621324075e-07,1024,0.10750035796738647,30.0,1,1,1,29.999999999999993,0.1526599680367568,9,39948,243,4.0,0.9883040946698063,0.9883042144399325,0.9867385245590794,0.9872916536700806,0.15362877529682817,0.1536288464369117,0.1369449153223799,0.17126555445261768,0.13721793717783654,0.16913072194279327,fjs_q4,0.1823502235648033
corrugated,121,5.199995671815277e-15,0.3007500496835164,0.9721792393491291,4.007709621324075e-07,1024,0.10750035796738647,30.0,1,1,1,29.999999999999993,0.15661983448779432,9,16236,243,1.2,0.9883040946698063,0.9883042144399325,0.9867385245590794,0.9872916536700806,0.15362877529682817,0.1536288464369117,0.1369449153223799,0.17126555445261768,0.13721793717783654,0.06873952141441854,jwy_mu1.2,0.277296664808143
