band_penalty,curve,cutoff,cutoff_converged,field_band_over_kd,field_field_error,field_gradient_error,field_halfband,field_matrix_error,field_nonzeros,field_q_equivalent,field_retained,field_trace_error,gradient_band_over_kd,gradient_field_error,gradient_gradient_error,gradient_halfband,gradient_matrix_error,gradient_nonzeros,gradient_q_equivalent,gradient_retained,gradient_step_consistency,gradient_trace_error,grid,halfwidth,kd,knee_0.001,knee_0.1,knee_1e-06,ko,max_mode,order,r2_K,r2_Kp,r2_T,r2_V,rate_K,rate_Kp,rate_T,rate_V,rate_envelope,shape_direction_modes,tolerance
2,kite,24,7.591860255150457e-15,5.0,1.8076092538190858e-07,3.4989428936174838e-06,10,0.00035794976484265496,3676,2.5694917118487535,0.3827571845064556,3.586677469253195e-05,6.0,3.96806069580338e-08,7.728694309261657e-07,12,0.0002714486367470238,4276,3.0833900542185044,0.44523115368596416,5.758841378711142e-09,1.5450984351206858e-05,256,0.16738230496393547,2.0,16,5,48,2.0000000000000004,2,49,0.9503337918998865,0.9503337918997289,0.947464694453593,0.9508408480062863,0.29922992310116964,0.29922992310125013,0.24017838312103928,0.35535818274503317,0.24396881462460124,3,1e-06
3,kite,36,1.1050979863115128e-14,1.2,0.006706700773988716,0.0375679418604428,12,0.012711787146391445,6676,2.796903260502111,0.31319196847438546,0.01346372577887957,1.5,0.00038426023802823355,0.00314432211372197,15,0.004339759364382202,8092,3.4961290756276386,0.3796209420153875,5.0837641256294895e-08,0.0022026671926590304,512,0.16738230496393547,10.0,21,11,55,10.000000000000002,2,73,0.9786853444353518,0.9786853444339247,0.9774857193299159,0.9781713975751091,0.26866735612871345,0.2686673561259983,0.23065478476220763,0.3041976772975109,0.2331674431855752,3,0.01
2,kite,36,1.1050979863115128e-14,1.8,2.104020333166303e-05,0.0002922486868825316,18,0.0018710844257642993,9436,4.195354890753166,0.4426721711390505,0.00037272276747780486,2.0,3.298803326087185e-06,3.5671127055932417e-05,20,0.0010102919376279663,10292,4.661505434170185,0.48282979921185964,5.0837641256294895e-08,0.00010989985961887474,512,0.16738230496393547,10.0,21,11,55,10.000000000000002,2,73,0.9786853444353518,0.9786853444339247,0.9774857193299159,0.9781713975751091,0.26866735612871345,0.2686673561259983,0.23065478476220763,0.3041976772975109,0.2331674431855752,3,0.0001
2,kite,36,1.1050979863115128e-14,2.3,1.7969754613380116e-07,3.126056432492207e-06,23,0.000548549235472865,11516,5.360731249295713,0.5402514543066241,2.731613626481827e-05,2.5,1.751575866233066e-08,2.617819375372736e-07,25,0.00031375440919649127,12292,5.826881792712731,0.5766560330268343,5.0837641256294895e-08,6.164389916827103e-06,512,0.16738230496393547,10.0,21,11,55,10.000000000000002,2,73,0.9786853444353518,0.9786853444339247,0.9774857193299159,0.9781713975751091,0.26866735612871345,0.2686673561259983,0.23065478476220763,0.3041976772975109,0.2331674431855752,3,1e-06
3,kite,81,1.20459507714717e-14,1.0666666666666667,0.008932183731584518,0.03075240236715036,32,0.00969205211451742,38156,6.2822083412986665,0.3590274379916444,0.010992172816469064,1.1666666666666667,0.0016061785338226135,0.006414516528358386,35,0.0033135869666732886,41252,6.871165373295416,0.3881591328239678,3.592921826317558e-07,0.002750886491574404,1024,0.16738230496393547,30.0,43,27,65,30.000000000000004,2,163,0.9872544747321754,0.9872545199506502,0.98932009862943,0.9846900527918694,0.23150200377087304,0.2315020877190442,0.21001427871638786,0.253517167179289,0.2133000576076348,3,0.01
3,kite,81,1.20459507714717e-14,1.3666666666666667,8.151897074153025e-05,0.0003806094701203625,41,0.0004160416357103086,47228,8.049079437288917,0.4443900786631036,0.00021196888050075414,1.4666666666666666,1.4638442532686429e-05,6.644215555673863e-05,44,0.00012368787282268588,50108,8.638036469285666,0.4714893296699161,3.592921826317558e-07,4.752047623977764e-05,1024,0.16738230496393547,30.0,43,27,65,30.000000000000004,2,163,0.9872544747321754,0.9872545199506502,0.98932009862943,0.9846900527918694,0.23150200377087304,0.2315020877190442,0.21001427871638786,0.253517167179289,0.2133000576076348,3,0.0001
2,kite,81,1.20459507714717e-14,1.6,6.68885095947197e-07,4.13125542005618e-06,48,3.502952930752775e-05,53836,9.423312511948,0.50656780458429,6.4667529096037615e-06,1.6666666666666667,7.895236072799676e-08,7.610861600119848e-07,50,1.779610451736892e-05,55652,9.815950533279166,0.52365538785803,3.592921826317558e-07,1.655803534377268e-06,1024,0.16738230496393547,30.0,43,27,65,30.000000000000004,2,163,0.9872544747321754,0.9872545199506502,0.98932009862943,0.9846900527918694,0.23150200377087304,0.2315020877190442,0.21001427871638786,0.253517167179289,0.2133000576076348,3,1e-06
2,crescent,24,1.4393415477829739e-12,2.0,0.009583203955324335,0.05657234057243368,4,0.00696812967248034,1684,1.0277966847395015,0.1753436068304873,0.010619617715648158,3.0,0.0012636929714806633,0.0066263899214578405,6,0.0031342967513041473,2380,1.5416950271092522,0.2478134110787172,7.04871400789152e-09,0.002988328799024574,256,0.09053850616843741,2.0,25,5,-1,1.9999999999999996,2,49,0.9251208185700501,0.9251208185700432,0.8562576810940832,0.9308355142985905,0.2224450692081303,0.22244506920813312,0.16976081300878126,0.27496810589208137,0.17386851086153216,3,0.01
3,crescent,24,1.4393415477829739e-12,3.5,9.323659455619929e-05,0.000738749162478734,7,0.0016524400240914162,2716,1.7986441982941275,0.282798833819242,0.001057185447116224,5.0,2.1889359248764896e-06,1.9343316280861853e-05,10,0.0008046505752159847,3676,2.5694917118487535,0.3827571845064556,7.04871400789152e-09,0.0001370944536006623,256,0.09053850616843741,2.0,25,5,-1,1.9999999999999996,2,49,0.9251208185700501,0.9251208185700432,0.8562576810940832,0.9308355142985905,0.2224450692081303,0.22244506920813312,0.16976081300878126,0.27496810589208137,0.17386851086153216,3,0.0001
2,crescent,24,1.4393415477829739e-12,5.5,7.459378836232103e-07,7.545396127027595e-06,11,0.0007659971729590092,3980,2.8264408830336287,0.4144106622240733,9.129508569695843e-05,6.5,7.79245608619421e-08,7.862562181279966e-07,13,0.0005971021270069964,4564,3.3403392254033797,0.4752186588921283,7.04871400789152e-09,2.8349352118437814e-05,256,0.09053850616843741,2.0,25,5,-1,1.9999999999999996,2,49,0.9251208185700501,0.9251208185700432,0.8562576810940832,0.9308355142985905,0.2224450692081303,0.22244506920813312,0.16976081300878126,0.27496810589208137,0.17386851086153216,3,1e-06
3,crescent,36,8.869949095746213e-13,1.3,0.009954425094688905,0.04835032918639206,13,0.02402754609729603,7156,3.0299785322106203,0.3357102645899794,0.020559075121482587,1.6,0.001776252128648959,0.008571718266811442,16,0.010486492594107655,8548,3.729204347336148,0.40101332332520173,5.665005791986764e-08,0.005818973705137499,512,0.09053850616843741,10.0,32,11,-1,9.999999999999998,2,73,0.9658427861449387,0.9658427861449336,0.9556702013557138,0.9672192895784371,0.1862308472443727,0.18623084724437522,0.14808244796071887,0.2225146110462338,0.15502118714535268,3,0.01
2,crescent,36,8.869949095746213e-13,2.0,7.111219096244935e-05,0.00041931079672077605,20,0.005413221460731155,10292,4.661505434170185,0.48282979921185964,0.0009933207733816565,2.2,6.1250253570837455e-06,5.320231564075416e-05,22,0.0038906705635595824,11116,5.127655977587204,0.5214862075436292,5.665005791986764e-08,0.00030095254520933157,512,0.09053850616843741,10.0,32,11,-1,9.999999999999998,2,73,0.9658427861449387,0.9658427861449336,0.9556702013557138,0.9672192895784371,0.1862308472443727,0.18623084724437522,0.14808244796071887,0.2225146110462338,0.15502118714535268,3,0.0001
2,crescent,36,8.869949095746213e-13,2.6,4.343396147908802e-07,3.9619155206741236e-06,26,0.002226664261508714,12668,6.059957064421241,0.5942953649840496,6.109768338400532e-05,2.8,9.55708873989078e-08,9.62123997790224e-07,28,0.0017700843782053831,13396,6.526107607838259,0.6284481140927003,5.665005791986764e-08,3.300527344045738e-05,512,0.09053850616843741,10.0,32,11,-1,9.999999999999998,2,73,0.9658427861449387,0.9658427861449336,0.9556702013557138,0.9672192895784371,0.1862308472443727,0.18623084724437522,0.14808244796071887,0.2225146110462338,0.15502118714535268,3,1e-06
