curve,cutoff,halfband,halfwidth,kd,matrix_error,nonzeros,order,retained,rule,truncated_vs_full,truncated_vs_reference,untruncated_error
kite,48,18,0.16738230496393547,2.0,4.8709436457923674e-05,12988,97,0.345095121691997,fjs_q4,6.632736128001452e-12,6.632807628867439e-12,2.271359669687369e-15
kite,48,45,0.16738230496393547,2.0,0.0009385501074650703,5788,97,0.1537889254968647,jwy_mu1.2,1.1011935542294958e-07,1.1011935542633425e-07,2.271359669687369e-15
kite,32,4,0.16738230496393547,2.0,0.003972337244737393,2260,65,0.13372781065088757,fjs_q1,0.004097033006859439,0.00409703300685952,2.151928875961065e-15
kite,32,8,0.16738230496393547,2.0,0.0005906148251083812,4132,65,0.24449704142011836,fjs_q2,3.557380850383256e-06,3.5573808503952224e-06,2.151928875961065e-15
kite,32,16,0.16738230496393547,2.0,0.00010119234347507957,7492,65,0.4433136094674556,fjs_q4,1.6460446267867632e-10,1.646044377120741e-10,2.151928875961065e-15
kite,32,32,0.16738230496393547,2.0,0.0013925732713705363,3668,65,0.2170414201183432,jwy_mu1.2,3.713885040115196e-06,3.7138850400822923e-06,2.151928875961065e-15
kite,24,3,0.16738230496393547,2.0,0.011643337915305727,1324,49,0.13785922532278216,fjs_q1,0.024887616450950834,0.024887616450950733,2.110400131570576e-15
kite,24,7,0.16738230496393547,2.0,0.0009755329011951817,2716,49,0.282798833819242,fjs_q2,3.550412748077937e-05,3.5504127480733575e-05,2.110400131570576e-15
kite,24,15,0.16738230496393547,2.0,0.00011969995183983386,5116,49,0.5326947105372761,fjs_q4,2.1455928148051053e-10,2.1455922020124391e-10,2.110400131570576e-15
kite,24,24,0.16738230496393547,2.0,0.0018631361666548493,2604,49,0.27113702623906705,jwy_mu1.2,3.75591075972361e-05,3.755910759716861e-05,2.110400131570576e-15
kite,16,3,0.16738230496393547,2.0,0.014140267905591123,876,33,0.20110192837465565,fjs_q1,0.024887616450950893,0.02488761645095074,7.718143714638354e-15
kite,16,6,0.16738230496393547,2.0,0.002151043968114434,1548,33,0.35537190082644626,fjs_q2,0.00035644422066918613,0.00035644422066923167,7.718143714638354e-15
kite,16,13,0.16738230496393547,2.0,0.0002362740828981922,2836,33,0.6510560146923783,fjs_q4,5.168986349038732e-09,5.168985882165342e-09,7.718143714638354e-15
