arm,bandwidth,bem_seconds,bem_solve_count,canonical_per_frequency_relative_field_error,case,conditioning_audit_seconds,conversion_seconds,failure_reason,gradient_calls,gradient_points,maximum_relative_field_error,maximum_system_condition,maximum_system_residual,nodes,per_frequency_relative_field_error,raw_geometry_m,returned_geometry_m,self_convergence_to_next_nodes,status,value_calls,value_points
distance_tangent_jet,8,0.02380826137959957,2,,circle_exact,0.0018671676516532898,0.258004754781723,,7,660,8.657351311904316e-09,4389.076825121944,2.189464019333314e-15,64,"[1.2880201842144764e-11, 8.657351311904316e-09]",,2.2337951956654145e-10,3.293784476300054e-14,success,9,4981
distance_tangent_jet,8,0.08117914665490389,2,,circle_exact,0.01114873867481947,0.258004754781723,,7,660,8.657346808731622e-09,4389.076825121967,5.037559148739205e-15,128,"[1.2880492187772766e-11, 8.657346808731622e-09]",,2.2337951956654145e-10,2.9698285217838046e-14,success,9,4981
distance_tangent_jet,8,0.3204771941527724,2,,circle_exact,0.07767716888338327,0.258004754781723,,7,660,8.65735582876559e-09,4389.076825121941,2.8446811257991884e-15,256,"[1.2881011943173207e-11, 8.65735582876559e-09]",,2.2337951956654145e-10,,success,9,4981
projected_tangent_jet,8,0.023592841811478138,2,,circle_exact,0.001809832639992237,0.26179314032197,,8,756,8.65735125914157e-09,4389.076825121974,2.0370021750344107e-15,64,"[1.2877184460079742e-11, 8.65735125914157e-09]",,2.2337927203565081e-10,2.929595714891002e-14,success,11,5173
projected_tangent_jet,8,0.08204744197428226,2,,circle_exact,0.011451713740825653,0.26179314032197,,8,756,8.65734876480269e-09,4389.076825121958,4.884068489657123e-15,128,"[1.2877078252471802e-11, 8.65734876480269e-09]",,2.2337927203565081e-10,2.8032351401444787e-14,success,11,5173
projected_tangent_jet,8,0.3165213605388999,2,,circle_exact,0.07872454077005386,0.26179314032197,,8,756,8.657352619642922e-09,4389.07682512197,2.7406272396207084e-15,256,"[1.2878466013163943e-11, 8.657352619642922e-09]",,2.2337927203565081e-10,,success,11,5173
shared_zero_method_b,1,0.02360319346189499,2,,circle_distorted,0.0017976118251681328,0.14134239964187145,,5,472,6.588516604305898e-11,4389.076825091295,2.2005991379356205e-15,64,"[2.5896372196434715e-11, 6.588516604305898e-11]",,8.553546423109252e-13,4.529277128840324e-14,success,8,4889
shared_zero_method_b,1,0.08259624522179365,2,,circle_distorted,0.011451249942183495,0.14134239964187145,,5,472,6.588066208181566e-11,4389.0768250913125,5.00135274410283e-15,128,"[2.5896240035983248e-11, 6.588066208181566e-11]",,8.553546423109252e-13,5.007749837968618e-14,success,8,4889
shared_zero_method_b,1,0.3252963023260236,2,,circle_distorted,0.0776287242770195,0.14134239964187145,,5,472,6.58740663915378e-11,4389.076825091303,2.6941962381304436e-15,256,"[2.5896937058844057e-11, 6.58740663915378e-11]",,8.553546423109252e-13,,success,8,4889
offsurface_zero_method_b,1,0.023586032912135124,2,,circle_distorted,0.0018983092159032822,0.23213857971131802,,10,952,7.583498011752027e-07,4389.076837454993,2.0726304782767186e-15,64,"[2.5906201881398173e-07, 7.583498011752027e-07]",,9.35083505655726e-09,3.428268511910471e-14,success,13,5369
offsurface_zero_method_b,1,0.08248404692858458,2,,circle_distorted,0.011557369492948055,0.23213857971131802,,10,952,7.583497996956032e-07,4389.0768374549625,4.855547457215756e-15,128,"[2.5906201810504877e-07, 7.583497996956032e-07]",,9.35083505655726e-09,4.750365330951592e-14,success,13,5369
offsurface_zero_method_b,1,0.32074635848402977,2,,circle_distorted,0.07626841217279434,0.23213857971131802,,10,952,7.583497957878638e-07,4389.076837454976,2.825075083617555e-15,256,"[2.590620185133465e-07, 7.583497957878638e-07]",,9.35083505655726e-09,,success,13,5369
distance_contacts,1,0.02371033374220133,2,,circle_distorted,0.0018125362694263458,0.2256887201219797,distance contact is not on the queried field zero set,8,760,6.588516604305898e-11,4389.076825091295,2.2005991379356205e-15,64,"[2.5896372196434715e-11, 6.588516604305898e-11]",0.0001786576997800186,8.553546423109252e-13,4.529277128840324e-14,fallback,10,5081
