best_error,bounding_radii,coupling_dimension_0.001,coupling_dimension_1e-06,coupling_dimension_1e-09,coupling_solve_0.001,coupling_solve_1e-06,coupling_solve_1e-09,cutoff,gap_absolute,gap_wavelengths,grid,kd,local_assemble,local_factor,local_respond,local_total,mie_error,monolithic_assemble,monolithic_dimension,monolithic_factor,monolithic_grid_control,monolithic_solve,order_0.001,order_1e-06,order_1e-09,pair,separation,trace_dimension
2.9407164092410966e-09,[0.5, 0.5548858652933805],21,33,-1,0.0009471820667386055,0.001928086974658072,,36,0.15707963267948966,0.25,512,10.0,0.924624499049969,0.0005171268712729216,0.07069260615389794,0.9958533690078184,nan,1.1414482060354203,292,0.0012636390747502446,3.448268039195884e-15,0.0004376429133117199,10,16,-1,ellipse_crescent,1.2119654979728702,146
1.6363195868939133e-08,[0.5, 0.5548858652933805],21,37,-1,0.0010028770193457603,0.002314510988071561,,36,0.07539822368615504,0.12,512,10.0,0.9327001159545034,0.0005344130331650376,0.07252536702435464,1.0057817009510472,nan,1.149656779016368,292,0.0011940989643335342,3.911031533885713e-15,0.0003769670147448778,10,18,-1,ellipse_crescent,1.1302840889795356,146
5.964173858468243e-08,[0.5, 0.5548858652933805],21,45,-1,0.0009576759766787291,0.003112001926638186,,36,0.03769911184307752,0.06,512,10.0,0.9186922030057758,0.0005002199904993176,0.07069863204378635,0.9899114370346069,nan,1.1519760420778766,292,0.0012700570514425635,3.3072963406152624e-15,0.00040182797238230705,10,22,-1,ellipse_crescent,1.0925849771364582,146
1.3193135639327087e-07,[0.5, 0.5548858652933805],21,45,-1,0.0009468490025028586,0.003049097955226898,,36,0.01884955592153876,0.03,512,10.0,0.9194805740844458,0.0005069599719718099,0.07100179605185986,0.9910074309445918,nan,1.1538034789264202,292,0.0012461260193958879,3.640192893238199e-15,0.0004483850207179785,10,22,-1,ellipse_crescent,1.0737354212149193,146
3.497367789346619e-14,[0.5, 0.5548858652933805],45,57,65,0.0035712560638785362,0.004594316007569432,0.005628186976537108,60,0.6283185307179586,3.0,512,30.0,0.995871615014039,0.001678110915236175,0.34796498203650117,1.3455384781118482,nan,1.1606943539809436,484,0.004917238024063408,1.8813250788115908e-14,0.0009553899290040135,22,28,32,ellipse_crescent,1.6832043960113392,242
3.91471102521331e-14,[0.5, 0.5548858652933805],45,57,65,0.003077017026953399,0.004431557958014309,0.005647422978654504,60,0.41887902047863906,2.0,512,30.0,0.9840024809818715,0.0016253869980573654,0.34441536595113575,1.3300678880186751,nan,1.2013949189567938,484,0.005103665986098349,2.0763984089166012e-14,0.001105570001527667,22,28,32,ellipse_crescent,1.4737648857720196,242
2.788389481089641e-11,[0.5, 0.5548858652933805],45,57,77,0.0029589099576696754,0.00457044190261513,0.007589941960759461,60,0.20943951023931953,1.0,512,30.0,0.9813500971067697,0.0016196839278563857,0.3437712610466406,1.3267657191026956,nan,1.1927679140353575,484,0.005082795047201216,1.9371679709552485e-14,0.0010302209993824363,22,28,38,ellipse_crescent,1.2643253755327002,242
3.6114380588549365e-09,[0.5, 0.5548858652933805],45,61,-1,0.0030250810086727142,0.004985106992535293,,60,0.10471975511965977,0.5,512,30.0,0.9877432179637253,0.0016488370019942522,0.34271028300281614,1.3321268041618168,nan,1.1826184780802578,484,0.005101641989313066,1.744220006862845e-14,0.0009695930639281869,22,30,-1,ellipse_crescent,1.1596056204130403,242
6.315977691397379e-08,[0.5, 0.5548858652933805],45,73,-1,0.003034086083061993,0.006945152068510652,,60,0.05235987755982988,0.25,512,30.0,0.9981624080101028,0.001672731013968587,0.34681685199029744,1.3466772381216288,nan,1.2022044910117984,484,0.005016483017243445,1.6733822473345486e-14,0.0009876309195533395,22,36,-1,ellipse_crescent,1.1072457428532105,242
3.6685170076783887e-07,[0.5, 0.5548858652933805],45,81,-1,0.003025040030479431,0.008510087965987623,,60,0.025132741228718343,0.12,512,30.0,0.9847728391177952,0.001605400932021439,0.34436774998903275,1.3307708270149305,nan,1.1883216559654102,484,0.005031801061704755,1.6550218580523518e-14,0.0010157650103792548,22,40,-1,ellipse_crescent,1.080018606522099,242
