coefficient_error,curve,factor_seconds,field_error,gmres_seconds,interpolation_error,kd,plain_iterations,preconditioned_iterations,projection_error,rank,reconstruct_seconds,samples,spacing,stride,tolerance
0.0001174640139350686,ellipse,0.0005720129702240229,0.0005526216963116595,0.00040675606578588486,0.0001174644598623656,12.5625,17,3,3.236680558365615e-07,11,0.000574910081923008,21,1.0,8,1e-06
0.0001267439801527306,ellipse,0.0005563229788094759,0.0004894723235303593,0.0004007959505543113,0.00012674447563090243,15.4375,19,3,3.54398245454859e-07,11,0.0005893879570066929,21,1.0,8,1e-06
5.517890464100323e-05,ellipse,0.0005553289083763957,0.00018605050497355383,0.0004043600056320429,5.5179969219313946e-05,18.1875,21,3,3.4276184517839906e-07,11,0.0005961429560557008,21,1.0,8,1e-06
7.55467256616297e-06,ellipse,0.0005598290590569377,2.524237349903994e-05,0.00040758494287729263,7.557115102154308e-06,20.9375,23,3,1.9212258643960736e-07,11,0.0005790649447590113,21,1.0,8,1e-06
0.0007957644763327085,ellipse,0.0005647530779242516,0.0024650500843245706,0.0004999279044568539,0.0007957646968333042,23.8125,25,4,5.923969392825304e-07,11,0.0006344580324366689,21,1.0,8,1e-06
0.0005472580083788362,ellipse,0.000549574033357203,0.00735430548172932,0.0005154859973117709,0.0005472580083854642,4.3125,10,4,2.704581315430592e-09,14,0.0007159610977396369,21,1.0,8,1e-09
6.620142269615914e-06,ellipse,0.0005550489295274019,4.4853624640073646e-05,0.0004128749715164304,6.620142284018878e-06,7.0625,13,3,4.302783228874833e-10,14,0.0006162369390949607,21,1.0,8,1e-09
4.236862508945998e-05,ellipse,0.0005590548971667886,0.00026022373297457163,0.0004130129236727953,4.236862509040201e-05,9.8125,15,3,2.473694582807631e-10,14,0.000630808062851429,21,1.0,8,1e-09
0.00011746401419958188,ellipse,0.0005532980430871248,0.0005525764030332478,0.0004109339788556099,0.00011746401419991079,12.5625,17,3,2.5890720883905523e-10,14,0.0006382650462910533,21,1.0,8,1e-09
0.00012674398037272136,ellipse,0.0005566430045291781,0.0004893583519334156,0.00041290989611297846,0.0001267439803722978,15.4375,19,3,9.618253474830372e-11,14,0.000602882937528193,21,1.0,8,1e-09
5.5178904844920046e-05,ellipse,0.0005635900888592005,0.00018577977155634237,0.00040665396954864264,5.517890484535669e-05,18.1875,21,3,2.5695672347826126e-10,14,0.0006229990394786,21,1.0,8,1e-09
7.554676676485584e-06,ellipse,0.000557615072466433,2.5184384998430422e-05,0.0004368009977042675,7.554676679665572e-06,20.9375,23,3,2.261361799985749e-10,14,0.0006598440231755376,21,1.0,8,1e-09
0.0007957646116461951,ellipse,0.00056349893566221,0.0024648079955177865,0.0005076730158179998,0.0007957646116484923,23.8125,25,4,2.105674877036364e-09,14,0.0006142649799585342,21,1.0,8,1e-09
2.3595454300882626e-05,ellipse,0.0005714379949495196,0.011560657725001148,0.0005671590333804488,0.0010709038344858374,4.3125,10,4,0.00107064386137081,7,0.0007317339768633246,41,0.5,4,0.001
9.7983373934245e-07,ellipse,0.0005572229856625199,0.0048560941934727335,0.0004863259382545948,0.0005894362833683256,7.0625,13,4,0.0005894354689677537,7,0.0004655140219256282,41,0.5,4,0.001
4.912654170034913e-06,ellipse,0.0005511289928108454,0.009684657442198794,0.00048190297093242407,0.0008769457592200994,9.8125,15,4,0.0008769319987671102,7,0.0004734969697892666,41,0.5,4,0.001
1.4636554571364817e-06,ellipse,0.0005545520689338446,0.010606634443241584,0.00046970206312835217,0.0007432444786615736,12.5625,17,4,0.0007432430374882792,7,0.00044634705409407616,41,0.5,4,0.001
1.4792879871532663e-06,ellipse,0.0005568620981648564,0.006184400482729315,0.0004810580285266042,0.0003135243658116494,15.4375,19,4,0.00031352087596340356,7,0.0005122149595990777,41,0.5,4,0.001
6.173088000453362e-06,ellipse,0.0005566180916503072,0.0018134482740494637,0.00046534708235412836,0.00023566243819629962,18.1875,21,4,0.00023558157347991853,7,0.0004468039842322469,41,0.5,4,0.001
1.3929912765266486e-06,ellipse,0.0005531549686565995,0.006051306651736803,0.00046504801139235497,0.0004564462106034239,20.9375,23,4,0.0004564440850201992,7,0.0004513449966907501,41,0.5,4,0.001
